Transaction_ID,Customer_ID,Transaction_Date,Product_ID,Product_Name,Category,Price,Quantity,Total_Spending,Payment_Method,Store_Location,Device_Used,Discount_Applied,Customer_Age,Customer_Gender,Customer_Income,Membership_Level,Rating,Return_Flag
TXN059462,CUST02598,2022-01-13,P0193,Product_138,Sports,1687.41,4.0,6749.64,Card,San Francisco,Desktop,0.0,61,Male,35000.0,Silver,1.0,Yes
TXN059556,CUST04893,2021-05-23,P0171,Product_13,Home & Kitchen,1088.02,3.0,3264.06,PayPal,Houston,Desktop,20.0,22,Non-Binary,50000.0,Silver,4.0,No
TXN011778,CUST02790,2021-09-15,P0180,Product_18,Books,924.08,1.0,924.08,PayPal,Boston,Mobile,5.0,34,Female,35000.0,Silver,3.0,No
TXN030202,CUST03543,2022-03-03,P0163,Product_196,Home & Kitchen,1145.68,1.0,1145.68,PayPal,San Francisco,Mobile,0.0,37,Female,75000.0,Silver,3.0,No
TXN024170,CUST00846,2022-11-15,P0118,Product_55,Fashion,954.52,4.0,3818.08,PayPal,Miami,Mobile,0.0,28,Female,100000.0,Silver,4.0,No
TXN049821,CUST02592,2021-02-10,P0195,Product_75,Grocery,516.21,4.0,2064.84,Card,Los Angeles,Mobile,20.0,63,Male,125000.0,Bronze,3.0,No
TXN052396,CUST02689,2023-12-12,P0088,Product_69,Books,1483.34,4.0,5933.36,Card,San Francisco,Desktop,0.0,21,Non-Binary,50000.0,Gold,1.0,No
TXN013038,CUST04216,2021-03-20,P0162,Product_126,Toys,1850.89,4.0,7403.56,Card,Houston,Desktop,20.0,60,Non-Binary,125000.0,Platinum,2.0,No
TXN022204,CUST02595,2021-09-15,P0126,Product_103,Grocery,543.52,2.0,1087.04,Card,Boston,Desktop,20.0,43,Non-Binary,100000.0,Gold,3.0,No
TXN053054,CUST02793,2023-01-30,P0150,Product_156,Electronics,1107.61,1.0,1107.61,Card,Los Angeles,Mobile,10.0,45,Male,125000.0,Gold,4.0,No
TXN067693,CUST03544,2022-03-31,P0092,Product_164,Sports,1715.72,3.0,5147.16,Card,Los Angeles,Desktop,0.0,48,Non-Binary,100000.0,Gold,3.0,Yes
TXN048650,CUST02777,2021-04-11,P0061,Product_101,Toys,66.8,1.0,66.8,PayPal,Los Angeles,Desktop,20.0,45,Male,75000.0,Gold,1.0,Yes
TXN059493,CUST04015,2022-10-28,P0168,Product_154,Grocery,580.41,2.0,1160.82,PayPal,New York,Desktop,5.0,56,Female,125000.0,Gold,5.0,No
TXN075773,CUST04142,2021-02-24,P0108,Product_152,Sports,133.54,2.0,267.08,PayPal,Chicago,Desktop,5.0,41,Male,50000.0,Gold,4.0,No
TXN062419,CUST01324,2021-08-23,P0049,Product_81,Beauty,906.51,3.0,2719.53,Card,Seattle,Mobile,20.0,62,Non-Binary,75000.0,Silver,5.0,No
TXN063797,CUST03581,2023-09-05,P0183,Product_31,Toys,1696.06,4.0,6784.24,PayPal,San Francisco,Desktop,5.0,37,Male,125000.0,Bronze,4.0,No
TXN031414,CUST00073,2023-04-11,P0139,Product_10,Electronics,1813.08,2.0,3626.16,Card,New York,Mobile,10.0,42,Female,50000.0,Platinum,1.0,No
TXN034852,CUST03781,2022-11-14,P0099,Product_41,Books,825.83,2.0,1651.66,Card,Boston,Desktop,20.0,37,Male,75000.0,Gold,5.0,Yes
TXN082587,CUST04264,2021-07-22,P0082,Product_26,Fashion,250.2,2.0,500.4,Card,Miami,Mobile,20.0,72,Male,35000.0,Bronze,4.0,No
TXN028825,CUST01442,2021-03-13,P0020,Product_76,Books,851.15,3.0,2553.45,PayPal,Seattle,Mobile,5.0,59,Female,75000.0,Silver,3.0,No
